,CO2,CH4,N2O,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,"Carbono negro
(Gg)"
[2] Procesos industriales y uso de productos,"44,482.928",221.240,"1,020.816","1,809.667",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,412.102,110.023,0.024,0.000,0.009,0.000,0.217,68.658,"48,125.684",,,0.000
[2A] Industria de los minerales,"23,747.326",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"23,747.326",,,
[2A1] Producción de cemento,"13,670.975",,,,,,,,,,,,,,,,,,,,,,,,,,,"13,670.975",,,
[2A2] Producción de cal,"2,383.157",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,383.157",,,
[2A3] Producción de vidrio,445.214,,,,,,,,,,,,,,,,,,,,,,,,,,,445.214,,,
[2A4] Otros usos de carbonatos,"7,247.980",,,,,,,,,,,,,,,,,,,,,,,,,,,"7,247.980",,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B] Industria química,"3,539.984",221.240,"1,020.792","1,809.611",,,,,,,,,,,,,,,,,,,,,,,,"6,591.627",,,
[2B1] Producción de amoniaco,"1,460.564",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,460.564",,,
[2B2] Producción de ácido nítrico,,,824.495,,,,,,,,,,,,,,,,,,,,,,,,,824.495,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,196.297,,,,,,,,,,,,,,,,,,,,,,,,,196.297,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B6] Producción de dióxido de titanio,154.552,,,,,,,,,,,,,,,,,,,,,,,,,,,154.552,,,
