,CO2,CH4,N2O,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
1B2bii Quemado gas natural,1171.885177,260.0874986,0.033611937,,,,,,,,,,,,,,,,,,,,,,,,,1432.006288,,,
1B2biii Otras fugitivas gas natural,2.929288393,2533.43383,,,,,,,,,,,,,,,,,,,,,,,,,,2536.363118,,,
[2] Procesos industriales y uso de productos,50644.0486,240.1125292,626.878823,1388.105399,1848.068899,3.102066825,37.80566749,0.280098235,7778.004868,8349.384716,149.3941315,407.7374697,44.1795352,68.94690511,58.36613861,4.735406082,412.785695,1180.910427,0.00186908,23.21073324,2.629592555,0.245713561,2.76E-06,0.087910031,1.84E-06,2.474451858,400.9158911,73672.41354,,,0
[2A] Industria de los minerales,30918.58697,0,0,,,,,,,,,,,,,,,,,,,,,,,,,30918.58697,,,
[2A1] Producción de cemento,19411.14368,,,,,,,,,,,,,,,,,,,,,,,,,,,19411.14368,,,
[2A2] Producción de cal,4071.177931,,,,,,,,,,,,,,,,,,,,,,,,,,,4071.177931,,,
[2A3] Producción de vidrio,1148.018149,,,,,,,,,,,,,,,,,,,,,,,,,,,1148.018149,,,
[2A4] Otros usos de carbonatos,6288.247211,,,,,,,,,,,,,,,,,,,,,,,,,,,6288.247211,,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[2B] Industria química,2357.83087,237.0000492,626.57766,1387.534828,,,,,,,,,,,,,,,,,,,,,,,,4608.943407,,,
[2B1] Producción de amoniaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[2B2] Producción de ácido nítrico,,,508.005,,,,,,,,,,,,,,,,,,,,,,,,,508.005,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,118.57266,,,,,,,,,,,,,,,,,,,,,,,,,118.57266,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[2B6] Producción de dióxido de titanio,386.96922,,,,,,,,,,,,,,,,,,,,,,,,,,,386.96922,,,
[2B7] Producción de ceniza de sosa,166.014,,,,,,,,,,,,,,,,,,,,,,,,,,,166.014,,,
[2B8] Producción petroquímica y negro de humo,1804.84765,237.0000492,,,,,,,,,,,,,,,,,,,,,,,,,,2041.847699,,,
[2B9] Producción fluoroquímica, ,,,1387.534828,,,,,,,,,,,,,,,,,,,,,,,,1387.534828,,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[2C] Industria de los metales,17305.66886,3.11248,0,,,,,,,,,,,,,,,,,,,,,,,,,17308.78134,,,
[2C1] Producción de hierro y acero,16884.61,3.11248,,,,,,,,,,,,,,,,,,,,,,,,,,16887.72248,,,
[2C2] Producción de ferroaleaciones,333.117,,,,,,,,,,,,,,,,,,,,,,,,,,,333.117,,,
[2C3] Producción de aluminio,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[2C5] Producción de plomo,87.94186,,,,,,,,,,,,,,,,,,,,,,,,,,,87.94186,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,34.16313999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,34.16313999,,,
[2D1] Uso de lubricantes,27.64014944,,,,,,,,,,,,,,,,,,,,,,,,,,,27.64014944,,,
[2D2] Uso de la cera de parafina,6.522990551,,,,,,,,,,,,,,,,,,,,,,,,,,,6.522990551,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[2E] Industria electrónica,0,0,0.301162998,0.570570816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186908,23.21073324,2.629592555,0.245713561,2.76E-06,0.087910031,1.84E-06,2.474451858,2.261725612,31.78373435,,,
[2E1] Circuitos integrados o semiconductores,,,0.24631174,0.570570816,,,,,,,,,,,,,,,0.00186908,2.196513586,1.225806979,0.245713561,2.76E-06,0.087794284,1.84E-06,2.222465356,1.081323724,7.878373726,,,
[2E2] Pantalla plana tipo TFT,,,0.054851258,,,,,,,,,,,,,,,,,0.05228638,,,,0.000115747,,0.251986502,1.180401888,1.539641776,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,20.96193327,1.403785576,,,,,,,22.36571885,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0,0,0,0,1848.068899,3.102066825,37.80566749,0.280098235,7778.004868,8349.384716,149.3941315,407.7374697,44.1795352,68.94690511,58.36613861,4.735406082,412.785695,1180.910427,0,0,0,0,0,0,0,0,0,20343.70202,,,
[2F1] Refrigeración y aire acondicionado,,,,,1848.068899,,,,7028.731832,8349.384716,149.3941315,,,,,,,1180.910427,,,,,,,,,,18556.49001,,,
[2F2] Agentes espumantes,,,,,,,,0.280098235,1.834597833,,,,,,53.12934046,,412.785695,,,,,,,,,,,468.0297316,,,
[2F3] Protección contra incendios,,,,,,,37.80566749,,,,,,44.1795352,68.94690511,,4.735406082,,,,,,,,,,,,155.6675139,,,
[2F4] Aerosoles,,,,,,,,,747.4384384,,,407.7374697,,,5.236798149,,,,,,,,,,,,,1160.412706,,,
[2F5] Solventes,,,,,,3.102066825,,,,,,,,,,,,,,,,,,,,,,3.102066825,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
